Date,Player_1,Player_2,Winner
2015-01-21,Seppi A.,Chardy J.,Seppi A.
2015-01-21,Rosol L.,Sela D.,Sela D.
2015-01-21,Kyrgios N.,Karlovic I.,Kyrgios N.
2015-01-21,Roger-Vasselin E.,Jaziri M.,Jaziri M.
2015-01-21,Groth S.,Kokkinakis T.,Groth S.
2015-01-21,Smyczek T.,Nadal R.,Nadal R.
2015-01-21,Tomic B.,Kohlschreiber P.,Tomic B.
2015-01-22,Haider-Maurer A.,Isner J.,Isner J.
2015-01-22,Nieminen J.,Bachinger M.,Nieminen J.
2015-01-22,Dodig I.,Nishikori K.,Nishikori K.
2015-01-22,Garcia-Lopez G.,Gonzalez A.,Garcia-Lopez G.
2015-01-22,Giraldo S.,Johnson S.,Johnson S.
2015-01-22,Pospisil V.,Lorenzi P.,Pospisil V.
2015-01-22,Copil M.,Wawrinka S.,Wawrinka S.
2015-01-22,Muller G.,Bautista R.,Muller G.
2015-01-22,Kuznetsov An.,Djokovic N.,Djokovic N.
2015-01-22,Simon G.,Granollers M.,Simon G.
2015-01-22,Stakhovsky S.,Ferrer D.,Ferrer D.
2015-01-22,Janowicz J.,Monfils G.,Janowicz J.
2015-01-22,Hewitt L.,Becker B.,Becker B.
2015-01-22,Verdasco F.,Soeda G.,Verdasco F.
2015-01-22,Young D.,Raonic M.,Raonic M.
2015-01-23,Dimitrov G.,Baghdatis M.,Dimitrov G.
2015-01-23,Troicki V.,Berdych T.,Berdych T.
2015-01-23,Seppi A.,Federer R.,Seppi A.
2015-01-23,Sousa J.,Murray A.,Murray A.
2015-01-23,Tomic B.,Groth S.,Tomic B.
2015-01-23,Gasquet R.,Anderson K.,Anderson K.
2015-01-23,Kyrgios N.,Jaziri M.,Kyrgios N.
2015-01-23,Sela D.,Nadal R.,Nadal R.
2015-01-24,Raonic M.,Becker B.,Raonic M.
2015-01-24,Janowicz J.,Lopez F.,Lopez F.
2015-01-24,Wawrinka S.,Nieminen J.,Wawrinka S.
2015-01-24,Pospisil V.,Garcia-Lopez G.,Garcia-Lopez G.
2015-01-24,Nishikori K.,Johnson S.,Nishikori K.
2015-01-24,Isner J.,Muller G.,Muller G.
2015-01-24,Djokovic N.,Verdasco F.,Djokovic N.
2015-01-24,Simon G.,Ferrer D.,Ferrer D.
2015-01-25,Berdych T.,Tomic B.,Berdych T.
2015-01-25,Anderson K.,Nadal R.,Nadal R.
2015-01-25,Kyrgios N.,Seppi A.,Kyrgios N.
2015-01-25,Dimitrov G.,Murray A.,Murray A.
2015-01-26,Wawrinka S.,Garcia-Lopez G.,Wawrinka S.
2015-01-26,Ferrer D.,Nishikori K.,Nishikori K.
2015-01-26,Raonic M.,Lopez F.,Raonic M.
2015-01-26,Muller G.,Djokovic N.,Djokovic N.
2015-01-27,Berdych T.,Nadal R.,Berdych T.
2015-01-27,Kyrgios N.,Murray A.,Murray A.
2015-01-28,Wawrinka S.,Nishikori K.,Wawrinka S.
2015-01-28,Raonic M.,Djokovic N.,Djokovic N.
2015-01-29,Murray A.,Berdych T.,Murray A.
2015-01-30,Wawrinka S.,Djokovic N.,Djokovic N.
2015-02-01,Djokovic N.,Murray A.,Djokovic N.
2015-02-02,Millot V.,Kamke T.,Kamke T.
2015-02-02,Sousa J.,Lokoli L.,Sousa J.
2015-02-02,Brown D.,Janowicz J.,Janowicz J.
2015-02-03,De Schepper K.,Ilhan M.,De Schepper K.
